dhb,age,sex,Maori,Pacific,Asian,MELAA,Other,European,Total Stated,Not Elsewhere Included,Total
Waitemata,12,Total,975,681,"1,197",132,78,"3,867","6,927",378,"7,308"
Waitemata,13,M,501,345,633,63,36,"1,965","3,549",177,"3,723"
Waitemata,13,F,495,336,591,75,33,"1,827","3,357",198,"3,555"
Waitemata,13,Total,996,681,"1,227",138,69,"3,795","6,903",375,"7,281"
Waitemata,14,M,477,342,600,69,36,"2,007","3,531",186,"3,717"
Waitemata,14,F,468,324,567,57,27,"1,806","3,246",177,"3,423"
Waitemata,14,Total,945,663,"1,167",126,60,"3,813","6,777",363,"7,140"
Waitemata,15,M,459,327,669,72,30,"1,998","3,558",192,"3,747"
Waitemata,15,F,507,324,675,72,27,"1,956","3,561",180,"3,744"
Waitemata,15,Total,966,654,"1,347",147,60,"3,951","7,119",375,"7,494"
Waitemata,16,M,486,366,729,75,42,"1,920","3,615",213,"3,828"
Waitemata,16,F,423,384,666,81,18,"1,911","3,477",195,"3,672"
Waitemata,16,Total,906,750,"1,392",156,60,"3,831","7,092",405,"7,500"
Waitemata,17,M,459,363,720,75,21,"2,040","3,678",201,"3,882"
Waitemata,17,F,456,321,693,63,24,"1,881","3,435",210,"3,642"
Waitemata,17,Total,912,684,"1,410",141,42,"3,918","7,113",411,"7,524"
Waitemata,18,M,462,297,654,81,36,"1,854","3,381",234,"3,615"
Waitemata,18,F,456,363,669,84,15,"1,782","3,369",180,"3,552"
Waitemata,18,Total,921,660,"1,320",165,51,"3,633","6,750",414,"7,164"
Waitemata,19,M,489,309,666,78,33,"1,872","3,447",240,"3,684"
Waitemata,19,F,486,333,648,78,12,"1,803","3,360",225,"3,585"
Waitemata,19,Total,975,645,"1,311",156,42,"3,675","6,807",465,"7,272"
Waitemata,20,M,399,294,690,72,36,"1,941","3,438",270,"3,708"
Waitemata,20,F,423,315,687,63,24,"1,737","3,252",216,"3,465"
Waitemata,20,Total,822,612,"1,377",138,60,"3,681","6,690",483,"7,173"
Waitemata,21,M,447,288,732,63,39,"1,872","3,444",279,"3,723"
Waitemata,21,F,423,306,618,63,27,"1,839","3,276",231,"3,507"
Waitemata,21,Total,873,594,"1,347",129,66,"3,708","6,717",513,"7,230"
Waitemata,22,M,438,291,747,84,48,"1,815","3,420",273,"3,693"
Waitemata,22,F,447,303,711,63,24,"1,881","3,432",258,"3,690"
Waitemata,22,Total,885,594,"1,461",147,72,"3,696","6,852",528,"7,383"
Waitemata,23,M,309,261,768,72,36,"1,599","3,042",231,"3,273"
Waitemata,23,F,381,270,696,78,18,"1,635","3,081",222,"3,303"
Waitemata,23,Total,690,531,"1,464",153,54,"3,234","6,120",456,"6,576"
Waitemata,24,M,330,252,774,69,39,"1,551","3,021",258,"3,273"
Waitemata,24,F,351,252,714,75,24,"1,521","2,940",219,"3,159"
Waitemata,24,Total,684,507,"1,485",144,60,"3,075","5,958",474,"6,435"
Waitemata,25,M,294,225,708,66,36,"1,485","2,811",231,"3,042"
Waitemata,25,F,354,234,798,63,21,"1,581","3,054",198,"3,249"
Waitemata,25,Total,645,456,"1,506",129,57,"3,066","5,862",429,"6,291"
Waitemata,26,M,270,219,762,60,39,"1,437","2,790",234,"3,024"
Waitemata,26,F,339,216,783,57,24,"1,479","2,895",225,"3,120"
Waitemata,26,Total,606,435,"1,542",117,66,"2,916","5,682",459,"6,144"
Waitemata,27,M,267,216,747,72,30,"1,398","2,727",243,"2,967"
Waitemata,27,F,318,186,846,75,24,"1,554","3,003",204,"3,207"
Waitemata,27,Total,585,399,"1,593",144,51,"2,952","5,727",444,"6,174"
Waitemata,28,M,252,216,849,66,42,"1,410","2,835",213,"3,045"
Waitemata,28,F,300,234,933,78,18,"1,515","3,078",195,"3,270"
Waitemata,28,Total,549,450,"1,785",144,60,"2,925","5,910",405,"6,315"
Waitemata,29,M,240,198,936,72,33,"1,443","2,922",207,"3,126"
Waitemata,29,F,291,231,"1,080",78,15,"1,632","3,330",213,"3,543"
Waitemata,29,Total,534,429,"2,019",150,48,"3,075","6,255",420,"6,672"
Waitemata,30,M,249,195,"1,029",84,27,"1,500","3,087",225,"3,309"
Waitemata,30,F,288,222,"1,149",90,24,"1,629","3,402",222,"3,624"
Waitemata,30,Total,537,417,"2,181",174,51,"3,132","6,489",447,"6,933"
Waitemata,31,M,243,213,882,60,33,"1,509","2,940",207,"3,144"
Waitemata,31,F,300,216,"1,038",96,33,"1,695","3,381",210,"3,591"
Waitemata,31,Total,540,429,"1,920",156,66,"3,207","6,318",417,"6,735"
Waitemata,32,M,258,195,804,81,54,"1,626","3,015",222,"3,237"
Waitemata,32,F,327,225,933,75,24,"1,890","3,474",210,"3,681"
Waitemata,32,Total,582,420,"1,734",156,75,"3,516","6,486",429,"6,918"
Waitemata,33,M,255,210,768,78,51,"1,650","3,018",174,"3,189"
Waitemata,33,F,279,225,858,84,36,"1,839","3,324",225,"3,549"
Waitemata,33,Total,537,438,"1,632",162,90,"3,486","6,345",399,"6,741"
Waitemata,34,M,270,210,675,75,45,"1,734","3,012",189,"3,201"
Waitemata,34,F,276,246,819,96,27,"1,866","3,327",216,"3,540"
Waitemata,34,Total,546,459,"1,494",174,72,"3,597","6,336",405,"6,741"
Waitemata,35,M,252,219,633,63,45,"1,653","2,859",204,"3,063"
Waitemata,35,F,300,231,762,99,33,"2,037","3,459",171,"3,630"
Waitemata,35,Total,552,450,"1,395",162,78,"3,687","6,318",375,"6,693"
Waitemata,36,M,258,210,630,63,51,"1,884","3,099",183,"3,282"
Waitemata,36,F,303,246,735,72,27,"2,040","3,423",180,"3,603"
Waitemata,36,Total,564,453,"1,365",135,78,"3,927","6,519",366,"6,885"
Waitemata,37,M,267,222,549,66,51,"1,860","3,018",195,"3,216"
Waitemata,37,F,288,252,702,81,36,"2,175","3,537",162,"3,699"
Waitemata,37,Total,555,477,"1,251",150,90,"4,035","6,555",357,"6,912"
Waitemata,38,M,261,219,576,54,60,"2,067","3,234",219,"3,456"
Waitemata,38,F,309,216,729,69,39,"2,301","3,666",180,"3,840"
Waitemata,38,Total,567,435,"1,302",123,102,"4,368","6,900",399,"7,299"
